"","Code","Type","Family","Facility Name","Permit","Map Label","Location","City","County","State","Zip","Longitude","Latitude","Access","Waste Shed","Operating Days & Hours","Days /Year","Acres","Total of All Wastes (tons/day)","Volume Description","Principal Waste (tons/day)","Principal Waste Description","$/ Ton","Tip Fee Description","Remaining Capacity (tons)","Start Date","Close Date","Ownership","Owner Entity","Owner Code","Owner Contact","Owner Title","Owner Department","Owner Address 1","Owner Address 2","Owner Phone","Owner Fax","Owner Email","Operation","Operator Entity","Operator Code","Operator Contact","Operator Title","Operator Department","Operator Address 1","Operator Address 2","Operator Phone","Operator Fax","Operator Email","Waste Types Accepted","Waste Types NOT Accepted"
"1","AL0086","LF","LF","Advanced Disposal Cedar Hill Landfill","58-01R","AL-2","1319 North Business Creek Road","Ragland","Saint Clair","AL","35131",-86.1603,33.738,"Highway","Regional Waste District","Mon-Fri 8am-4pm, Sat 7am-11:30am",312,40,587.62,"587 TPD",587.62,"MSW: 587 TPD",66,"MSW: $66.00 /Ton",6960000,1989-03-15,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Johnny Goodspeed","Area Manager",NA,"PO Box 270","Peterson, AL  35478","(205) 424-8457","(205) 553-0556",NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Jim Dunham","District Manager",NA,"1319 North Business Creek Road","Cropwell, AL  35054","(205) 338-7821","(205) 338-1062",NA,"Non-Friable Asb., C&D Waste, Cont. Soil, Indust. Waste, MSW, Non-haz Ash, Sludge, Yard Waste","Tires"
"2","AL0087","LF","LF","Advanced Disposal Star Ridge Landfill","58-05R","AL-4","3301 Acmar Road","Moody","Saint Clair","AL","35004",-86.5115,33.5878,"Highway","Regional Waste District","Mon-Fri 5am-4pm, Sat 6am-11am",312,760,1714.01,"1,714 TPD",1000,"CS : 1,000 TPD",49,"CS : $49.00 /Ton",17100000,1983-08-15,2097-09-18,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Jim Dunham","District Manager","Star Ridge Landfill","3301 Acmar Road, PO Box 430","Moody, AL  35004","(205) 640-7000","(205) 640-3719","james.dunham@veoliaes.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Jim Dunham","District Manager","Star Ridge Landfill","3301 Acmar Road, PO Box 430","Moody, AL  35004","(205) 640-7000","(205) 640-3719","james.dunham@veoliaes.com","Non-Friable Asb., C&D Waste, Carpet Mat., Cont. Soil, MSW, Sludge, Yard Waste","Tires"
"3","AL0411","LF","LF","Stone's Throw Landfill","62-11","AL-103","1303 Washington Blvd.","Tallassee","Elmore","AL","36078",-85.831904,32.510568,"Highway","Out-of-County/Metro.","Mon-Fri 7am-5pm (closed 11am-12pm for lunch)",260,123,734.9,"734 TPD",734.9,"MSW: 734 TPD",51,"MSW: $51.00 /Ton",5340000,2002-06-30,NA,"Private","Advanced Disposal Services Alabama, LLC","AIGH","Mr. Tray Allen","Landfill Manager","Stone's Throw Landfill","1303 Washington Blvd.","Tallassee, AL  36078","(334) 252-1210","(334) 252-8089","tallen@advanceddisposal.com","Private","Advanced Disposal Services Alabama, LLC","AIGH","Mr. Tray Allen","Landfill Manager","Stone's Throw Landfill","1303 Washington Blvd.","Tallassee, AL  36078","(334) 252-1210","(334) 252-8089","tallen@advanceddisposal.com","C&D Waste, MSW, Tires","Freon Appl."
"4","AL0480","LF","LF","Turkey Trot Landfill, LLC","65-05","AL-112","2328 Mannish Ryan Rd","Citronelle","Mobile","AL","36522",-88.171775,31.150965,"Highway",NA,"Mon-Fri 7am-4:30pm",260,300,300,"300 TPD",300,"MSW: 100-500 TPD",38,"MSW: $38.00 /Ton",2230000,2009-10-19,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Gerald Allen",NA,NA,"90 Fort Wade Road","Ponte Vedra, FL  32081","(904) 737-7900","(904) 636-0699","gallen@advanceddisposal.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Jerry Cox","General Manager","Turkey Trot Landfill","2328 Mannish Ryan Rd","Citronelle, AL  36522","(251) 866-7787","(251) 866-7566","jcox@advanceddisposal.com","C&D Waste, MSW",NA
"5","GA0442","LF","LF","Advanced Disposal Eagle Point Landfill","058-012D(MSWL)","GA-2","8880 Old Federal Road","Ball Ground","Cherokee","GA","30107",-84.240833,34.325556,"Highway","Regional Waste District","Mon-Fri 3:30am-4:30pm, Sat 6am-1pm",312,577,4293.94,"4,293 TPD",3903.71,"MSW: 3,903 TPD",57,"MSW: $57.00 /Ton",48500000,2001-10-05,2048-06-15,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Gerald Allen","Vice President of Landfills",NA,"8880 Old Federal Road","Ball Ground, GA  30107","(770) 781-2721","(770) 781-4064",NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Trey Allen","General Manager","Eagle Point Landfill","8880 Old Federal Road","Ball Ground, GA  30107","(770) 781-2721","(770) 781-4064",NA,"Non-Friable Asb., C&D Waste, Indust. Waste, MSW, Sludge","Tires"
"6","GA0506","LF","LF","Advanced Disposal Evergreen Landfill","092-022D(MSWL)","GA-3","3163 Wetherington Lane","Valdosta","Lowndes","GA","31601",-83.359923,30.823575,"Highway","Exclusive or Captive","Mon-Fri 6am-5pm, Sat 7am-11am",312,147,1079.72,"1,079 TPD",1079.72,"MSW: 1,079 TPD",50,"MSW: $50.00 /Ton",10500,2007-01-01,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Greg Walk","Area Manager","Pecan Row Landfill","2995 Wetherington Lane","Valdosta, GA  31601-1109","(229) 293-8157","(229) 293-8321","greg.walk@veoliaes.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Greg Walk","General Manager","Evergreen Landfill","3163 Wetherington Lane","Valdosta, GA  31601","(229) 241-8440","(229) 242-7439","greg.walk@veoliaes.com","C&D Waste, MSW, Yard Waste","Tires"
"7","GA0006","LF","LF","Advanced Disposal Pecan Row Landfill","092-019D(SL)","GA-4","2995 Wetherington Lane","Valdosta","Lowndes","GA","31601",-83.360302,30.812912,"Highway","Regional Waste District","Mon-Fri 6am-5pm, Sat 7am-11am",312,97,0.1,"0.10 TPD",0.1,"MSW: 0.10 TPD",45,"MSW: $45.00 /Ton",3240000,1992-06-30,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Greg Walk","Area Manager","Pecan Row Landfill","2995 Wetherington Lane","Valdosta, GA  31601-1109","(229) 293-8157","(229) 293-8321","greg.walk@veoliaes.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Greg Walk","Area Manager","Pecan Row Landfill","2995 Wetherington Lane","Valdosta, GA  31601-1109","(229) 293-8157","(229) 293-8321","greg.walk@veoliaes.com","Non-Friable Asb., C&D Waste, Carpet Mat., Cont. Soil, Indust. Waste, MSW, Sludge, Yard Waste","Tires"
"8","IL0297","LF","LF","Advanced Disposal Orchard Hills Landfill","1410175005","IL-2","8290 Highway 251 South","Davis Junction","Ogle","IL","61020",-89.080455,42.140336,"Highway","County/Metro.","Mon-Fri 7am-4pm, Sat 7am-11am",312,333,9437.43,"9,437 TPD",9437.43,"MSW: 9,437 TPD",82,"MSW: $82.00 /Ton",0,1998-01-13,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Bruce Knapp","General Manager","Orchard Hills Landfill","8290 Highway 251 South","Davis Junction, IL  61020","(815) 874-9000","(815) 874-5841","bruce.knapp@veoliaes.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Bruce Knapp","General Manager","Orchard Hills Landfill","8290 Highway 251 South","Davis Junction, IL  61020","(815) 874-9000","(815) 874-5841","bruce.knapp@veoliaes.com","C&D Waste, Cont. Soil, MSW","Non-Friable Asb., Tires, Yard Waste"
"9","IL0082","LF","LF","Advanced Disposal Valley View Landfill","1158040008","IL-3","1363 Bear Road","Decatur","Macon","IL","62522",-89.043191,39.824577,"Highway","County/Metro. Exclusive","Mon-Tue, Thu-Fri 7am-3pm, Wed 7am-2:30pm, Sat 7am-10:30am",312,235,560.69,"560 TPD",557.32,"MSW: 557 TPD",89.4,"MSW: $89.40 /Ton",2330000,1978-01-01,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Chris Rooney","General Manager","Valley View Landfill","1363 Bear Road","Decatur, IL  62522","(217) 963-2976","(217) 963-2981","christopher.rooney@veoliaes.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Chris Rooney","General Manager","Valley View Landfill","1363 Bear Road","Decatur, IL  62522","(217) 963-2976","(217) 963-2981","christopher.rooney@veoliaes.com","Non-Friable Asb., C&D Waste, Cont. Soil, MSW, Non-haz Ash, Yard Waste","Tires"
"10","IL0066","LF","LF","Advanced Disposal Zion Landfill","0978020002","IL-4","701 N. Green Bay Road","Zion","Lake","IL","60099",-87.8385,42.4436,"Highway","County/Metro.","Mon-Fri 6:30am-3:30pm, Sat 7am-10am",312,178,2400.78,"2,400 TPD",2400.78,"MSW: 2,400 TPD",58.5,"MSW: $58.50 /Ton",10100000,1980-01-01,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. James Lewis","General Manager",NA,"701 Green Bay Road","Zion, IL  60099","(847) 623-3870","(847) 746-0666","james.lewis@veoliaes.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. James Lewis","General Manager",NA,"701 Green Bay Road","Zion, IL  60099","(847) 623-3870","(847) 746-0666","james.lewis@veoliaes.com","Non-Friable Asb., C&D Waste, Carpet Mat., Cont. Soil, Indust. Waste, Furniture, MSW, Non-haz Ash, Sludge, Special Waste","Hazardous, Truck Tires, Tractor Tires, Tires, Appliances, Yard Waste"
