"Code","Location","City","County","State","Zip","Type","Family","Waste_Shed","Operator_Code","Total of All Wastes (tons/day)","Operation","st_cnty","GEOID","cbsa","market","iscsa"
"GA0234","Coffman Springs Road","La Fayette","Walker","GA","30728","DL","DL","Exclusive or Captive","CITY OF LA FAYETTE",3.15,"Public","Walker:GA","174","Chattanooga-Cleveland-Dalton, TN-GA CSA","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE
"GA0294","1224 Pleasant Hill Rd Extenstion","Ranger","Gordon","GA","30734","LF","LF","County/Metro.","SANTK",1668.09,"Private","Gordon:GA","174","Chattanooga-Cleveland-Dalton, TN-GA CSA","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE
"GA0235","5120 North Marble Top Road","Chickamauga","Walker","GA","30707","LF","LF","County/Metro. Exclusive","WALKER COUNTY",63.86,"Public","Walker:GA","174","Chattanooga-Cleveland-Dalton, TN-GA CSA","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE
"GA0185","6585 Hwy 411 South","Chatsworth","Murray","GA","307056909","LF","LF","County/Metro.","SANTK",0,"Private","Murray:GA","174","Chattanooga-Cleveland-Dalton, TN-GA CSA","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE
"GA0302","4189 Old Dixie Highway","Dalton","Whitfield","GA","30719","LF","LF","County/Metro.","DALTON/WHITFIELD REGIONAL SOLID WASTE MANAGEMENT AUTHORITY",916.84,"Public","Whitfield:GA","174","Chattanooga-Cleveland-Dalton, TN-GA CSA","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE
"GA0557","3473 Corporate Drive","Dalton","Whitfield","GA","30720","MR","TS",NA,"CARAU",300,"Private","Whitfield:GA","174","Chattanooga-Cleveland-Dalton, TN-GA CSA","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE
"GA0527","75 Shope Ridge Rd","Ringgold","Catoosa","GA","30736","TS","TS","County/Metro. Exclusive","SANTK",63,"Private","Catoosa:GA","174","Chattanooga-Cleveland-Dalton, TN-GA CSA","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE
"GA0324","Stockade Road","Summerville","Chattooga","GA","30747","TS","TS","County/Metro.","CHATTOOGA COUNTY",63,"Public","Chattooga:GA","174","Chattanooga-Cleveland-Dalton, TN-GA CSA","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE
"GA0599","888 Sunset Drive","Trenton","Dade","GA","30752","TS","TS","County/Metro. Exclusive","DADE COUNTY",63,"Public","Dade:GA","174","Chattanooga-Cleveland-Dalton, TN-GA CSA","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE
"GA0490","4189 Old Dixie Highway","Dalton","Whitfield","GA","30719","MR","TS","County/Metro.","DALTON/WHITFIELD REGIONAL SOLID WASTE MANAGEMENT AUTHORITY",80,"Public","Whitfield:GA","174","Chattanooga-Cleveland-Dalton, TN-GA CSA","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE
"GA0384","5120 North Marble Top Road","Chickamauga","Walker","GA","30707","TS","TS","County/Metro. Exclusive","WALKER COUNTY",250,"Public","Walker:GA","174","Chattanooga-Cleveland-Dalton, TN-GA CSA","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE
"GA0313","819 McGaughey Chapel Road","Dalton","Whitfield","GA","30719","TS","TS","County/Metro. Exclusive","DALTON/WHITFIELD REGIONAL SOLID WASTE MANAGEMENT AUTHORITY",70,"Public","Whitfield:GA","174","Chattanooga-Cleveland-Dalton, TN-GA CSA","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE
"GA0455","1924 M.L. King Jr. Blvd.","Dalton","Whitfield","GA","30719","TS","TS","County/Metro. Exclusive","DALTON/WHITFIELD REGIONAL SOLID WASTE MANAGEMENT AUTHORITY",63,"Public","Whitfield:GA","174","Chattanooga-Cleveland-Dalton, TN-GA CSA","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE
"GA0576","105 Stoleman Road","Trion","Chattooga","GA","30753","TS","TS",NA,"SANTK",63,"Private","Chattooga:GA","174","Chattanooga-Cleveland-Dalton, TN-GA CSA","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE
"GA0489","2598 Landfill Road","Rocky Face","Whitfield","GA","30740","TS","TS","County/Metro. Exclusive","DALTON/WHITFIELD REGIONAL SOLID WASTE MANAGEMENT AUTHORITY",12.5,"Public","Whitfield:GA","174","Chattanooga-Cleveland-Dalton, TN-GA CSA","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE
"TN0706","9327 Birchwood Pike","Harrison","Hamilton","TN","37341","DL","DL",NA,"SANTK",63,"Private","Hamilton:TN","174","Chattanooga-Cleveland-Dalton, TN-GA CSA","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE
