"Operator_Code","market","iscsa","waste_own","total_waste","waste_shr","waste_hhi"
"CARAU","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE,600,11170.65,5.37121832659693,2716.48679067137
"CHATTOOGA COUNTY","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE,63,11170.65,0.563977924292678,2716.48679067137
"CITY OF CHATTANOOGA","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE,10.34,11170.65,0.0925639958283538,2716.48679067137
"CITY OF COLLEGEDALE","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE,13.28,11170.65,0.118882965628679,2716.48679067137
"CITY OF SIGNAL MOUNTAIN","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE,36.67,11170.65,0.328270960060516,2716.48679067137
"CITY WASTE","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE,0,11170.65,0,2716.48679067137
"DADE COUNTY","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE,63,11170.65,0.563977924292678,2716.48679067137
"DALTON/WHITFIELD REGIONAL SOLID WASTE MANAGEMENT AUTHORITY","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE,1142.34,11170.65,10.2262625720079,2716.48679067137
"HAMILTON COUNTY","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE,71.93,11170.65,0.643919557053529,2716.48679067137
"MARION COUNTY","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE,0,11170.65,0,2716.48679067137
"MCMINN COUNTY","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE,51.99,11170.65,0.465416067999624,2716.48679067137
"ORANGE GROVE RECYCLING CENTER","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE,37.5,11170.65,0.335701145412308,2716.48679067137
"REPUB","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE,733.96,11170.65,6.57043233831514,2716.48679067137
"ROCK","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE,363,11170.65,3.24958708759114,2716.48679067137
"SANTK","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE,4842.79,11170.65,43.3528039997672,2716.48679067137
"WALKER COUNTY","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE,313.86,11170.65,2.80968430664285,2716.48679067137
"WCNX","Chattanooga-Cleveland-Dalton, TN-GA CSA",TRUE,2826.99,11170.65,25.3073008285104,2716.48679067137
