"market","Operator_Code","count","total_waste"
"Abbeville:SC","ABBEVILLE COUNTY",2,105.85
"Accomack:VA","ACCOMACK COUNTY",5,146.63
"Adair:KY","WCNX",1,26.62
"Adams:ID","ADAMS COUNTY",2,25
"Adams:MS","WM",1,609.09
"Adams:NE","CITY OF HASTINGS",1,185.17
"Adams:WI","ADAMS COUNTY",1,93.21
"Addison:VT","ADDISON COUNTY SOLID WASTE MANAGEMENT DISTRICT",1,75
"Addison:VT","TOWN OF LINCOLN",1,0
"Addison:VT","TOWN OF SALISBURY",1,0
"Aiken:SC","CITY OF NORTH AUGUSTA",1,394.01
"Aiken:SC","THREE RIVERS SOLID WASTE AUTHORITY",1,1669.07
"Aitkin:MN","GARRISON DISPOSAL",2,28.74
"Aitkin:MN","MCGREGOR TRANSFER STATION",1,21.74
"Alamosa:CO","ALAMOSA COUNTY",1,0
"Albany-Schenectady, NY CSA","BRADLEY'S TS",1,0
"Albany-Schenectady, NY CSA","CALLANAN INDUSTRIES",1,408.77
"Albany-Schenectady, NY CSA","CAPITAL REGION SOLID WASTE MANAGEMENT PARTNERSHIP",1,933.6
"Albany-Schenectady, NY CSA","CARMEN BARBATO",1,94.43
"Albany-Schenectady, NY CSA","CASCADES RECOVERY",1,300
"Albany-Schenectady, NY CSA","CD MAN",2,63
"Albany-Schenectady, NY CSA","CITY OF SARATOGA SPRINGS",1,2.68
"Albany-Schenectady, NY CSA","COLUMBIA COUNTY",9,68.69
"Albany-Schenectady, NY CSA","CWST",4,486.81
"Albany-Schenectady, NY CSA","EARTH WASTE&METAL",5,28.11
"Albany-Schenectady, NY CSA","FULTON COUNTY",6,528.27
"Albany-Schenectady, NY CSA","HERITAGE ENVIRONMENTAL SERVICES",1,0
"Albany-Schenectady, NY CSA","ICS WASTE AND RECYCLING",1,0
"Albany-Schenectady, NY CSA","MONTGOMERY COUNTY",2,149.29
"Albany-Schenectady, NY CSA","MURPHY RUBBISH",1,19.24
"Albany-Schenectady, NY CSA","REPUB",1,395.11
"Albany-Schenectady, NY CSA","SARATOGA COUNTY",1,1.96
"Albany-Schenectady, NY CSA","SIERRA PROCESSING",1,29
