"","Operator Code","count"
"1","211 Waste Disposal",1
"2","94th Street Rail Transfer",1
"3","A & C Cox Construction",1
"4","A & M Disposal & Recycling",1
"5","A & R Lobosco Inc",1
"6","A Rio Salado Recycling Ctr",1
"7","A&D Environmental Services",1
"8","A-A Recycle & Sand, Inc.",1
"9","A. J. Blosenski, Inc.",1
"10","A. J. Recycling Inc (Roll-Tech)",1
"11","A1 Transfer & Recycling Inc",1
"12","AAA Hauling of North Carolina",1
"13","ABC",2
"14","ABC & D Recycling, Inc.",1
"15","ABC Disposal Systems",1
"16","ACE Environmental, Inc.",1
"17","ACES Waste Services Inc.",2
"18","ACTN",5
"19","AGL Solid Waste Authority",1
"20","AIGH",15
"21","AKS Recycling Inc.",1
"22","ALLGreen Services, LLC",1
"23","AMEC Carting, LLC",1
"24","ARC Recycling Center",1
"25","ARC Recycling Contractors, LLC",1
"26","ASR Systems",1
"27","ATHEN",4
"28","ATS Environmental Inc",1
"29","Abbeville County",2
"30","Absolute Data Destruction",1
"31","Absolute Environmental",1
"32","Acadia Parish",1
"33","Accomack County",2
"34","Accurate Asbestos",1
"35","Accurate Recycling Corp.",1
"36","Ace Intermountain Recycling Center",1
"37","Ace Recycling",1
"38","Ace Waste Services, LLC",1
"39","Active Recycling Company, Inc.",1
"40","Ada County Operations",1
"41","Adair County",1
"42","Adams County",2
"43","Addison County Solid Waste Management District",1
"44","Adirondack Refuse and Recycling",1
"45","Advance Disposal Company Inc.",1
"46","Advanced Recycling",1
"47","Advanced Technology Recycling (ATR)",1
"48","Advantage Waste Recycling & Disposal, Inc.",1
"49","Aggregate Industries",1
"50","Aggregate Recycling Corporation",1
"51","Airport Recycling Specialists, Inc.",1
"52","Alachua County",1
"53","Alamance County",1
"54","Alameda County Industries",1
"55","Alamosa County",1
"56","Albemarle Regional Health Services",1
"57","Albert Township Board",1
"58","Albreada Refuse & Sweeping, LLC.",1
"59","Albuquerque Recycling, Inc.",1
"60","Alcona Refuse Transfer Station",1
"61","Alexander County",1
"62","All American Recyclilng Corp.",1
"63","All City Paper Fibers Corp.",1
"64","All City Recycling, LLC",1
"65","All County Recycling",1
"66","All Recycling North, LLC",1
"67","All State Rubbish",1
"68","Allamakee County Solid Waste Agency",1
"69","Allan Company",1
"70","Allegany County",2
"71","Alleghany County",1
"72","Allegheny Raw Materials, Inc.",1
"73","Allen County",1
"74","Allen County Recyclers, Inc.",1
"75","Allen County Refuse",1
"76","Alloco Recycling Corp.",1
"77","Alpco Recycling Inc.",2
"78","Alpha Container Services & Recycling",1
"79","Alpine County",1
"80","Alpine Waste & Recycling",1
"81","Always Available Roll-Off",1
"82","America Chung Nam, Inc.",2
"83","American Environmental Landfill",1
"84","American Recyclers Company",1
"85","American Recycling Management LLC",1
"86","American Refuse",1
"87","American Waste",2
"88","Amerisouth Recycling",1
"89","Amite County",1
"90","Amwaste - a Matter Management Company",1
"91","Anderson County",3
"92","Androscoggin Valley Regional Refuse Disposal District",1
"93","Angelina County",1
"94","Angelo's Recycled Materials",1
"95","Angelo's Recycled Materials - Tampa Recycling Facility",1
"96","Angelo's Recycled Materials, Inc.",1
"97","Angelus Western Paper Fibers, Inc.",1
"98","Anne Arundel County",2
"99","Anson County",1
"100","Apex Environmental, LLC",2
"101","Apple Valley Sanitation, Inc",1
"102","Appomattox County",2
"103","Aransas County",1
"104","Archuleta County",2
"105","Arizona Strip Landfill Corporation",1
"106","Ark Regional Services",1
"107","Armstrong County",1
"108","Arrow Waste",1
"109","Asbestos Carting Corp",1
"110","Ashe County",1
"111","Asheville Waste Paper Co. Inc.",1
"112","Ashland County Recycling Center",1
"113","Ashley County",1
"114","Ashley County Recovery Facility",1
"115","Asotin County",1
"116","Associated Paper Stock",1
"117","Astoria Carting Co. Inc.",1
"118","Atchison Community Recycling Center",1
"119","Atchison County",2
"120","Athens Services",1
"121","Athens-Clarke County Solid Waste Department",2
"122","Athens-Hocking Recycling Center",1
"123","Atkinson County",1
"124","Atlantic Coast Fibers",1
"125","Atlantic County Utilities Authority",2
"126","Atlantic Recycling Technologies LLC",1
"127","Atlas Roll Off Container Corp.",1
"128","Aucilla Area Solid Waste",1
"129","Audubon County",1
"130","Auglaize County Solid Waste District",1
"131","Augusta County Service Authority",1
"132","Auston Contracting Inc",1
"133","Automated Material Handling",1
"134","Avery County",1
"135","B & E Recycling",1
"136","B & J Transfer",1
"137","B&H Rail Corporation",1
"138","B-P Trucking, Inc.",1
"139","BEST",8
"140","BLB Hauling",1
"141","BURR",12
"142","BVSWMA, Inc.",1
"143","Badger Disposal, Inc.",1
"144","Bahm Demolition, Inc.",1
"145","Bain & Company, Inc.",1
"146","Bainbridge Disposal",1
"147","Baker Sanitary Service",1
"148","Balcones Recycling Inc",1
"149","Baldwin County",2
"150","Baltimore County",2
"151","Baltimore Recycling Center, LLC",1
"152","Bamberg County",1
"153","Bandera County",1
