,Operator Code,Note Changes,Extra Notes,Status
1,211 Waste Disposal,,,
2,94th Street Rail Transfer,,,
3,A & C Cox Construction,,,
4,A & M Disposal & Recycling,,,
5,A & R Lobosco Inc,,,
6,A Rio Salado Recycling Ctr,,,
7,A&D Environmental Services,,,
9,"A. J. Blosenski, Inc.",,,
10,A. J. Recycling Inc (Roll-Tech),,,
11,A1 Transfer & Recycling Inc,,,
8,"A-A Recycle & Sand, Inc.",,,
12,AAA Hauling of North Carolina,,,
29,Abbeville County,,,
13,ABC,,ABC Disposal Systems (Converted in next line),
14,"ABC & D Recycling, Inc.",,,
15,ABC Disposal Systems,,,
30,Absolute Data Destruction,,,
31,Absolute Environmental,,,
32,Acadia Parish,,,
33,Accomack County,,,
34,Accurate Asbestos,,,
35,Accurate Recycling Corp.,,,
16,"ACE Environmental, Inc.",,,
36,Ace Intermountain Recycling Center,,,
37,Ace Recycling,,,
38,"Ace Waste Services, LLC",,,
17,ACES Waste Services Inc.,,,
39,"Active Recycling Company, Inc.",,,
18,ACTN,,,
40,Ada County Operations,,,
41,Adair County,,,
42,Adams County,,,
43,Addison County Solid Waste Management District,,,
44,Adirondack Refuse and Recycling,,,
45,Advance Disposal Company Inc.,,,
46,Advanced Recycling,,,
47,Advanced Technology Recycling (ATR),,,
48,"Advantage Waste Recycling & Disposal, Inc.",,,
49,Aggregate Industries,,,
50,Aggregate Recycling Corporation,,,
19,AGL Solid Waste Authority,,,
20,AIGH,,,
51,"Airport Recycling Specialists, Inc.",,,
21,AKS Recycling Inc.,,,
52,Alachua County,,,
53,Alamance County,,,
54,Alameda County Industries,,,
55,Alamosa County,,,
56,Albemarle Regional Health Services,,,
57,Albert Township Board,,,
58,"Albreada Refuse & Sweeping, LLC.",,,
59,"Albuquerque Recycling, Inc.",,,
60,Alcona Refuse Transfer Station,,,
61,Alexander County,,,
62,All American Recyclilng Corp.,,,
63,All City Paper Fibers Corp.,,,
64,"All City Recycling, LLC",,,
65,All County Recycling,,,
66,"All Recycling North, LLC",,,
67,All State Rubbish,,,
68,Allamakee County Solid Waste Agency,,,
69,Allan Company,,,
70,Allegany County,,,
71,Alleghany County,,,
72,"Allegheny Raw Materials, Inc.",,,
73,Allen County,,,
74,"Allen County Recyclers, Inc.",,,
75,Allen County Refuse,,,
22,"ALLGreen Services, LLC",,,
76,Alloco Recycling Corp.,,,
77,Alpco Recycling Inc.,,,
78,Alpha Container Services & Recycling,,,
79,Alpine County,,,
80,Alpine Waste & Recycling,,,
81,Always Available Roll-Off,,,
23,"AMEC Carting, LLC",,,
82,"America Chung Nam, Inc.",,,
83,American Environmental Landfill,,,
84,American Recyclers Company,,,
85,American Recycling Management LLC,,,
86,American Refuse,,,
87,American Waste,,,
88,Amerisouth Recycling,,,
89,Amite County,,,
90,Amwaste - a Matter Management Company,,,
91,Anderson County,,,
92,Androscoggin Valley Regional Refuse Disposal District,,,
93,Angelina County,,,
94,Angelo's Recycled Materials,,,Cleaned
95,Angelo's Recycled Materials - Tampa Recycling Facility,Replace with Angelo's Recycled Materials,,
96,"Angelo's Recycled Materials, Inc.",,,
97,"Angelus Western Paper Fibers, Inc.",,,
98,Anne Arundel County,,,
99,Anson County,,,
100,"Apex Environmental, LLC",,,
101,"Apple Valley Sanitation, Inc",,,
102,Appomattox County,,,
103,Aransas County,,,
24,ARC Recycling Center,,,
25,"ARC Recycling Contractors, LLC",,,
104,Archuleta County,,,
105,Arizona Strip Landfill Corporation,,,
106,Ark Regional Services,,,
107,Armstrong County,,,
108,Arrow Waste,,,
109,Asbestos Carting Corp,,,
110,Ashe County,,,
111,Asheville Waste Paper Co. Inc.,,,
112,Ashland County Recycling Center,,,
113,Ashley County,,,
114,Ashley County Recovery Facility,,,
115,Asotin County,,,
26,ASR Systems,,,
116,Associated Paper Stock,,,
117,Astoria Carting Co. Inc.,,,
118,Atchison Community Recycling Center,,,
119,Atchison County,,,
27,ATHEN,ATHEN is Athens Services,,Cleaned
120,Athens Services,,,
121,Athens-Clarke County Solid Waste Department,,,
122,Athens-Hocking Recycling Center,,,
123,Atkinson County,,,
124,Atlantic Coast Fibers,,,
125,Atlantic County Utilities Authority,,,
126,Atlantic Recycling Technologies LLC,,,
127,Atlas Roll Off Container Corp.,,,
28,ATS Environmental Inc,,,
128,Aucilla Area Solid Waste,,,
129,Audubon County,,,
130,Auglaize County Solid Waste District,,,
131,Augusta County Service Authority,,,
132,Auston Contracting Inc,,,
133,Automated Material Handling,,,
134,Avery County,,,
135,B & E Recycling,,,
136,B & J Transfer,,,
137,B&H Rail Corporation,,,
143,"Badger Disposal, Inc.",,,
144,"Bahm Demolition, Inc.",,,
145,"Bain & Company, Inc.",,,
146,Bainbridge Disposal,,,
147,Baker Sanitary Service,,,
148,Balcones Recycling Inc,,,
149,Baldwin County,,,
150,Baltimore County,,,
151,"Baltimore Recycling Center, LLC",,,
152,Bamberg County,,,
153,Bandera County,,,
154,Bannock County,,,
155,Barber County,,,
156,"Barker Conrete & Construction, Inc.",,,
157,Barnhart Dozer,,,
158,Barnwell County,,,
159,Bartholomew County Solid Waste Management District,,,
160,Barton County,,,
161,Bartow County,,,
162,"Basin Disposal, Inc.",,,
163,Bass Waste Removal Transfer Station,,,
164,Bastrop County,,,
165,Bath County,,,
166,Batliner Recycling,,,
167,Bavarian Trucking Company,,,
168,Bay County Solid Waste Division,,,
169,Bay Side Recycling,,,
170,Bayshore Recycling Corp.,,,
171,Bear Lake County,,,
172,Bear Valley Community Services District,,,
173,Beasley Disposal Inc,,,
174,Beaver County Special Service District #5,,,
175,Beaverhead County,,,
176,Becker County,,,
177,Bedford County,,,
178,"Bedroc Contracting, LLC",,,
179,"Bee Garbage Transfer System, Inc",,,
180,Bell County,,,
181,Benewah County,,,
182,"Bennett Construction, Inc.",,,
183,Benton County Solid Waste Disposal Commission,,,
184,Berdshire Cleanway Inc,,,
185,Berkeley County Water and Sanitation,,,
186,"Berks Transfer, Inc.",,,
187,Berky's Transfer Site Container Service,,,
188,Bernalillo County,,,
189,"Berryessa Garbage Service, Inc",,,
190,Bert Adams Disposal,,,
191,"Bertolotti Disposal, Inc",,,
192,Berwick Town Office,,,
139,BEST,,,
193,Best Disposal Inc.,,,
194,Best Disposal Service,,,
195,"Bestway Recycling Co., Inc.",,These should be the same on Google search?,
196,Bestway Recycling Inc,,,
197,Bi-County Disposal Inc,,,
198,Bi-County Solid Waste System,,,
199,Big Apple Demolition,,,
200,Big Bend National Park,,,
201,Big City Recycling,,,
202,Big Creek Township,,,
203,Big Horn County Solid Waste Disposal District,,,
204,Big Sky Environmental LLC,,,
205,Bingham County,,,
206,Bio Pappel International,,,
208,BioCyclie Services,,,
207,Bio-PAPPEL International,"Get rid of ""-""",,
209,"Birmingham Recycling & Recovery LLC, USA",,,
210,Black Hawk County Solid Waste Management,,,
211,Black Warrior Solid Waste Authority,,,
212,Bladen County,,,
213,Blair County,,,
140,BLB Hauling,,,
214,Bleckley County,,,
215,Blount County,,,
216,Blue Creek Compost Facility,,,
217,Blue Earth County,,,
218,Blue Hills Environmental Association,,,
219,Blue Line Transfer Inc,,,
220,Blue Monkey Recycling LLC,,,
221,Blue Mountain Refuse Inc,,,
222,Blue Ridge Disposal Inc.,,,
224,Bob Walker Hauling & Transfer,,,
225,Bob's Heavy Equipment,,,
226,Bob's Sanitation Inc,,,
227,Boggs Paving Asphalt Shingle Recycling,,,
228,Boise County,,,
229,Bonner County,,,
230,Bonneville County,,,
231,Boone County,,,
232,Boone County Resource Recovery Inc.,,,
233,Boothbay Regional Refuse Disposal District,,,
234,Borough of Bergenfield,,,
235,Borough of Creskill,,,
