"","Owner Code","count"
"1","211 Waste Disposal",1
"2","A & C Cox Construction",1
"3","A & R Lobosco Inc",1
"4","A J Catagnus Rubbish Removal",1
"5","A Rio Salado Recycling Ctr",1
"6","A&S Metals",2
"7","A-A Recycle & Sand, Inc.",1
"8","A. J. Recycling Inc (Roll-Tech)",1
"9","A.R.S. Refuse Service, Inc.",1
"10","A1 Transfer & Recycling Inc",1
"11","AAA Hauling of North Carolina",1
"12","ABC",2
"13","ABC Disposal Systems",1
"14","ACE Environmental, Inc.",1
"15","ACES Waste Services Inc.",1
"16","ACTN",5
"17","AGL Solid Waste Authority",1
"18","AIGH",12
"19","ARC Recycling Contractors, LLC",1
"20","Abbeville County",1
"21","Abbey Green, Inc.",1
"22","Absolute Data Destruction",1
"23","Acadia Parish",1
"24","Accomack County",2
"25","Accurate Asbestos",1
"26","Accurate Recycling Corp.",1
"27","Ace Recycling",1
"28","Active Recycling Company, Inc.",1
"29","Ada County Operations",1
"30","Adair County",1
"31","Adams County",2
"32","Addison County Solid Waste Management District",1
"33","Adirondack Refuse and Recycling",1
"34","Advance Disposal Company Inc.",1
"35","Advanced Technology Recycling (ATR)",1
"36","Aggregate Recycling Corporation",1
"37","Aires Consulting Group",1
"38","Alachua County",2
"39","Alamance County",1
"40","Alameda County Environmental Health Department",1
"41","Alameda County Industries",1
"42","Alamosa County",1
"43","Albemarle Regional Health Services",1
"44","Albert Township Board",1
"45","Albreada Refuse & Sweeping, LLC.",1
"46","Alcona Refuse Transfer Station",1
"47","Alcorn County",1
"48","Alexander County",1
"49","All American Recyclilng Corp.",1
"50","All City Paper Fibers Corp.",1
"51","All City Recycling, LLC",1
"52","All County Recycling",1
"53","All Metals Recycling",1
"54","All State Rubbish",1
"55","All Waste, Inc.",1
"56","Allamakee County Solid Waste Agency",1
"57","Allan Company",1
"58","Allegany County",2
"59","Alleghany County",1
"60","Allegheny Raw Materials, Inc.",1
"61","Allen County",1
"62","Allen County Refuse",1
"63","Alloco Recycling Corp.",1
"64","Alpco Recycling Inc.",1
"65","Alpine County",1
"66","Always Available Roll-Off",1
"67","Amador County",1
"68","America Chung Nam, Inc.",2
"69","American Allied Recycling",1
"70","American Carting Corp",1
"71","American Recyclers Company",1
"72","American Recycling Management LLC",1
"73","American Recycling Services",1
"74","American Waste",3
"75","American Waste Control, Inc.",3
"76","American Waste Haulers, Inc.",1
"77","Amherst County",1
"78","Amite County",1
"79","Anderson County",3
"80","Androscoggin Valley Regional Refuse Disposal District",1
"81","Angelina County",1
"82","Angelo's Recycled Materials",1
"83","Angelus Western Paper Fibers, Inc.",1
"84","Anne Arundel County",2
"85","Anson County",1
