,Owner Code,Note Changes,Extra Notes,Status,
1,211 Waste Disposal,,,,TRUE
2,A & C Cox Construction,,,,TRUE
3,A & R Lobosco Inc,,,,TRUE
4,A J Catagnus Rubbish Removal,,,,TRUE
5,A Rio Salado Recycling Ctr,,,,TRUE
6,A&S Metals,,,,FALSE
8,A. J. Recycling Inc (Roll-Tech),,,,TRUE
9,"A.R.S. Refuse Service, Inc.",,,,TRUE
10,A1 Transfer & Recycling Inc,,,,FALSE
7,"A-A Recycle & Sand, Inc.",,,,FALSE
11,AAA Hauling of North Carolina,,,,FALSE
20,Abbeville County,,,,TRUE
21,"Abbey Green, Inc.",,,,FALSE
12,ABC,,ABC Disposal Systems (Converted in next line),,TRUE
13,ABC Disposal Systems,Convert this to ABC,,Cleaned sucessfully,FALSE
22,Absolute Data Destruction,,,,TRUE
23,Acadia Parish,,,,TRUE
24,Accomack County,,,,TRUE
25,Accurate Asbestos,,,,TRUE
26,Accurate Recycling Corp.,,,,FALSE
14,"ACE Environmental, Inc.",,,,FALSE
27,Ace Recycling,,,,FALSE
15,ACES Waste Services Inc.,,,,FALSE
28,"Active Recycling Company, Inc.",,,,FALSE
16,ACTN,,Action Environmental Services.  No others found,,FALSE
29,Ada County Operations,,,,TRUE
30,Adair County,,,,TRUE
31,Adams County,,,,TRUE
32,Addison County Solid Waste Management District,,,,TRUE
33,Adirondack Refuse and Recycling,,,,TRUE
34,Advance Disposal Company Inc.,,,,TRUE
35,Advanced Technology Recycling (ATR),,,,TRUE
36,Aggregate Recycling Corporation,,,,FALSE
17,AGL Solid Waste Authority,,,,TRUE
18,AIGH,,Stands for Advanced Disposal Services.  No others found,,FALSE
37,Aires Consulting Group,,,,TRUE
38,Alachua County,,,,TRUE
39,Alamance County,,,,TRUE
40,Alameda County Environmental Health Department,,,,TRUE
41,Alameda County Industries,,,,TRUE
42,Alamosa County,,,,TRUE
43,Albemarle Regional Health Services,,,,TRUE
44,Albert Township Board,,,,TRUE
45,"Albreada Refuse & Sweeping, LLC.",,,,TRUE
46,Alcona Refuse Transfer Station,,,,TRUE
47,Alcorn County,,,,TRUE
48,Alexander County,,,,TRUE
49,All American Recyclilng Corp.,,,,TRUE
50,All City Paper Fibers Corp.,,,,TRUE
51,"All City Recycling, LLC",,,,TRUE
52,All County Recycling,,,,TRUE
53,All Metals Recycling,,,,TRUE
54,All State Rubbish,,,,TRUE
55,"All Waste, Inc.",,,,TRUE
56,Allamakee County Solid Waste Agency,,,,TRUE
57,Allan Company,,,,TRUE
58,Allegany County,,,,TRUE
59,Alleghany County,,,,TRUE
60,"Allegheny Raw Materials, Inc.",,,,TRUE
61,Allen County,,,,TRUE
62,Allen County Refuse,,,,TRUE
63,Alloco Recycling Corp.,,,,TRUE
64,Alpco Recycling Inc.,,,,TRUE
65,Alpine County,,,,TRUE
66,Always Available Roll-Off,,,,TRUE
67,Amador County,,,,TRUE
68,"America Chung Nam, Inc.",,,,TRUE
69,American Allied Recycling,,,,TRUE
70,American Carting Corp,,,,TRUE
71,American Recyclers Company,,Probably does not match with two below as different companies popped up,,TRUE
72,American Recycling Management LLC,,Probably does not match with one above or below as different companies popped up with search,,TRUE
73,American Recycling Services,,Probably does not match with two above as different companies poppuped up,,TRUE
74,American Waste,,Assume to be different than others,,TRUE
75,"American Waste Control, Inc.",,Assume to be different than others,,TRUE
76,"American Waste Haulers, Inc.",,Assume to be different than others,,TRUE
77,Amherst County,,,,TRUE
78,Amite County,,,,TRUE
79,Anderson County,,,,TRUE
80,Androscoggin Valley Regional Refuse Disposal District,,,,TRUE
81,Angelina County,,,,TRUE
82,Angelo's Recycled Materials,,,,TRUE
83,"Angelus Western Paper Fibers, Inc.",,,,TRUE
84,Anne Arundel County,,,,TRUE
85,Anson County,,,,TRUE
86,Antwerp Township,,,,TRUE
87,Appanoose County,,,,TRUE
88,"Apple Valley Sanitation, Inc",,,,TRUE
89,Appomattox County,,,,TRUE
90,"Aqua Clean Environmental of Virginia, LLC",,,,TRUE
91,Aransas County,,,,FALSE
19,"ARC Recycling Contractors, LLC",,,,FALSE
92,Arcadia Recycling,,,,TRUE
93,Archuleta County,,,,TRUE
94,Ark Regional Services,,,,TRUE
95,Armstrong County,,,,TRUE
96,Aroostook County,,,,TRUE
97,Asbestos Carting Corp.,,,,TRUE
98,Ashe County,,,,TRUE
99,Asheville Waste Paper Co Inc,,,,TRUE
100,Ashley County,,,,TRUE
101,Asotin County,,,,TRUE
102,Asphalt Specialties,,,,TRUE
103,Astoria Carting Co. Inc.,,,,TRUE
104,Atchison Community Recycling Center,,,,TRUE
105,Atchison County,,,,TRUE
106,Athens-Clarke County Solid Waste Department,,,,TRUE
107,Atkinson County,,,,TRUE
108,Atlantic County Utilities Authority,,,,TRUE
109,"Atlantic Pier Co., Inc.",,,,TRUE
110,Atlas Roll Off Container Corp.,,,,TRUE
111,Atomic Recycling,,,,TRUE
112,Aucilla Area Solid Waste,,,,TRUE
113,Audubon County,,,,TRUE
114,Auglaize County Solid Waste District,,,,TRUE
115,Augusta County,,,,TRUE
116,Augusta Solid Waste Management District,,,,TRUE
117,Auston Contracting Inc,,,,TRUE
118,Avery County,,,,TRUE
119,B & E Recycling,,,,TRUE
120,B & J Transfer,,,,FALSE
128,"Badger Disposal, Inc.",,,,TRUE
129,"Bahm Demolition, Inc.",,,,TRUE
130,Baker Sanitary Service,,,,TRUE
131,Balcones Recycling Inc,,,,TRUE
132,Baldwin County,,,,TRUE
133,Baltimore County,,,,TRUE
134,"Baltimore Recycling Center, LLC",,,,TRUE
